Source database	Release date	Update date	Length	Isolate Lineage source	BioSample accession	Submitter Country	strain	name	region	country	date	host	authors	institution	sra_accession	passage_type	abbr_authors	division	location
GenBank	2015-10-26T00:00:00Z	2015-10-26T00:00:00Z	5005			Germany	KT253263.1	BtCoV/FO1E-F66/Hip_cf._rub/GHA/2011	Africa	Ghana	2011-XX-XX	Hipposideros cf. ruber	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology			Corman et al		
GenBank	2015-10-26T00:00:00Z	2015-10-26T00:00:00Z	5005			Germany	KT253262.1	BtCoV/BUO2E-F58/Hip_cf._rub/GHA/2011	Africa	Ghana	2011-XX-XX	Hipposideros cf. ruber	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology			Corman et al		
GenBank	2015-10-26T00:00:00Z	2015-10-26T00:00:00Z	5005			Germany	KT253261.1	BtCoV/FO-A-42/Hip_aba/GHA/2010	Africa	Ghana	2010-XX-XX	Hipposideros abae	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology			Corman et al		
GenBank	2015-10-26T00:00:00Z	2015-10-26T00:00:00Z	5665			Germany	KT253260.1	BtCoV/AT1A-F41/Hip_aba/GHA/2010	Africa	Ghana	2010-XX-XX	Hipposideros abae	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology			Corman et al		
GenBank	2015-10-26T00:00:00Z	2015-10-26T00:00:00Z	5665			Germany	KT253259.1	BtCoV/AT1A-F45/Hip_aba/GHA/2010	Africa	Ghana	2010-XX-XX	Hipposideros abae	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology			Corman et al		
GenBank	2015-06-16T00:00:00Z	2015-06-16T00:00:00Z	411			China	KP347631.1	sh2933					Zhao,Y.,Lu,R.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC, Biotech Center for Viral Disease Emergency			Zhao et al		
GenBank	2015-06-16T00:00:00Z	2015-06-16T00:00:00Z	411			China	KP347630.1	sh2922					Zhao,Y.,Lu,R.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC, Biotech Center for Viral Disease Emergency			Zhao et al		
GenBank	2015-03-11T00:00:00Z	2016-03-15T00:00:00Z	411			Kenya	KP112149.1	HCOV/KENYA/009/2010	Africa	Kenya	2014-07-01	Homo sapiens	Sipulwa,L.A.,Ongus,J.R.,Coldren,R.L.,Bulimo,W.D.,Opot,B.H.,Achilla,R.A.	United States Army Medical Research Unit-Kenya (USAMRU-K), DEID Program on Human Respiratory Viruses			Sipulwa et al		
GenBank	2015-03-11T00:00:00Z	2016-03-15T00:00:00Z	428			Kenya	KP112148.1	HCOV/KENYA/006/2009	Africa	Kenya	2014-07-01	Homo sapiens	Sipulwa,L.A.,Ongus,J.R.,Coldren,R.L.,Bulimo,W.D.,Opot,B.H.,Achilla,R.A.	United States Army Medical Research Unit-Kenya (USAMRU-K), DEID Program on Human Respiratory Viruses			Sipulwa et al		
GenBank	2015-03-11T00:00:00Z	2016-03-15T00:00:00Z	426			Kenya	KP112147.1	HCOV/KENYA/002/2012	Africa	Kenya	2014-07-01	Homo sapiens	Sipulwa,L.A.,Ongus,J.R.,Coldren,R.L.,Bulimo,W.D.,Opot,B.H.,Achilla,R.A.	United States Army Medical Research Unit-Kenya (USAMRU-K), DEID Program on Human Respiratory Viruses			Sipulwa et al		
GenBank	2015-01-20T00:00:00Z	2015-01-20T00:00:00Z	385			China	KM676092.1	BJ298	Asia	China	2014-05-XX	Homo sapiens	Zhao,Y.,Lu,R.,Li,Y.,Tan,W.	National Institute for Viral Disease Control and Prevention, China CDC, Biotech Center for Viral Disease Emergency			Zhao et al		
GenBank	2015-07-01T00:00:00Z	2015-07-01T00:00:00Z	961	oronasopharynx		USA	KM077071.1	TN93_3-50	North America	USA		Homo sapiens	Talbot,K.B.,Podsiad,A.B.,Tollefson,S.J.,Crowe,J.E.,Edwards,K.M.,Williams,J.V.	Vanderbilt University School of Medicine, Pediatrics, Pathology, Microbiology, and Immunology			Talbot et al		
GenBank	2015-07-01T00:00:00Z	2015-07-01T00:00:00Z	961	oronasopharynx		USA	KM077070.1	TN93_3-40	North America	USA		Homo sapiens	Talbot,K.B.,Podsiad,A.B.,Tollefson,S.J.,Crowe,J.E.,Edwards,K.M.,Williams,J.V.	Vanderbilt University School of Medicine, Pediatrics, Pathology, Microbiology, and Immunology			Talbot et al		
GenBank	2015-07-01T00:00:00Z	2015-07-01T00:00:00Z	961	oronasopharynx		USA	KM077069.1	TN95_2-39	North America	USA		Homo sapiens	Talbot,K.B.,Podsiad,A.B.,Tollefson,S.J.,Crowe,J.E.,Edwards,K.M.,Williams,J.V.	Vanderbilt University School of Medicine, Pediatrics, Pathology, Microbiology, and Immunology			Talbot et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055590.1	11949_2011	Asia	China	2011-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055589.1	8425_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055588.1	8373_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055587.1	8348_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055586.1	8339_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055585.1	857_2005	Asia	China	2005-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055584.1	748_2005	Asia	China	2005-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055583.1	693A_2008	Asia	China	2008-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055582.1	507A_2008	Asia	China	2008-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055581.1	494A_2008	Asia	China	2008-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055580.1	423A_2007	Asia	China	2007-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055579.1	359A_2007	Asia	China	2007-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055578.1	2981A_2011	Asia	China	2011-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055577.1	2961A_2011	Asia	China	2011-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055576.1	2861A_2011	Asia	China	2011-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055575.1	2764A_2011	Asia	China	2011-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055574.1	1990A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055573.1	1829A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055572.1	1827A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055571.1	1782A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055570.1	1781A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055569.1	1761A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055568.1	1667A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055567.1	1658A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055566.1	1649A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055565.1	1546A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055564.1	1518A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055563.1	1512A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055562.1	1482A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	2780	oronasopharynx			KM055561.1	1424A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3513				KM055560.1	1424A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3513	oronasopharynx			KM055559.1	857_2005	Asia	China	2005-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3513	oronasopharynx			KM055558.1	8348_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3513	oronasopharynx			KM055557.1	748_2005	Asia	China	2005-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3513				KM055556.1	693A_2008	Asia	China	2008-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3513				KM055555.1	507A_2008	Asia	China	2008-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3513				KM055554.1	494A_2008	Asia	China	2008-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3513				KM055553.1	1482A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3513				KM055552.1	423A_2007	Asia	China	2007-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3513				KM055551.1	359A_2007	Asia	China	2007-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055550.1	2981A_2011	Asia	China	2011-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055549.1	2961A_2011	Asia	China	2011-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055548.1	2861A_2011	Asia	China	2011-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516	oronasopharynx			KM055547.1	8425_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516	oronasopharynx			KM055546.1	8373_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516	oronasopharynx			KM055545.1	8339_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055544.1	2764A_2011	Asia	China	2011-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055543.1	1990A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055542.1	1829A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055541.1	1827A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055540.1	1782A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055539.1	1781A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055538.1	1761A_2010	Asia	China	2010-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055537.1	1667A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055536.1	1658A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055535.1	1649A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055534.1	1546A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055533.1	1518A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516				KM055532.1	1512A_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	3516	oronasopharynx			KM055531.1	11949_2011	Asia	China	2011-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
GenBank	2018-08-31T00:00:00Z	2018-08-31T00:00:00Z	1170	oronasopharynx			KM055530.1	8373_2009	Asia	China	2009-XX-XX	Homo sapiens	Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology			Zhang et al		
